tax_id,my_date,code,value,c_doc_sub
00236903,2020-12-31,1011,523.0,001
00236903,2020-12-31,1012,523.0,001
00236903,2020-12-31,1030,948.0,001
00236903,2020-12-31,1095,948.0,001
00236903,2020-12-31,1100,42.0,001
00236903,2020-12-31,1104,42.0,001
00236903,2020-12-31,1125,1488.0,001
00236903,2020-12-31,1130,535.0,001
00236903,2020-12-31,1135,56.0,001
00236903,2020-12-31,1155,2735.0,001
00236903,2020-12-31,1165,2.0,001
00236903,2020-12-31,1167,2.0,001
00236903,2020-12-31,1190,21.0,001
00236903,2020-12-31,1195,4879.0,001
00236903,2020-12-31,1210,5.0,050
00236903,2020-12-31,1240,5.0,050
00236903,2020-12-31,1241,5.0,050
00236903,2020-12-31,1300,5827.0,001
00236903,2020-12-31,1400,19.0,001
00236903,2020-12-31,1410,2120.0,001
00236903,2020-12-31,1415,2.0,001
00236903,2020-12-31,1420,44.0,001
00236903,2020-12-31,1495,2185.0,001
00236903,2020-12-31,1615,1434.0,001
00236903,2020-12-31,1620,3.0,001
00236903,2020-12-31,1621,3.0,001
00236903,2020-12-31,1625,2.0,001
00236903,2020-12-31,1630,24.0,001
00236903,2020-12-31,1635,1.0,001
00236903,2020-12-31,1690,2178.0,001
00236903,2020-12-31,1695,3642.0,001
00236903,2020-12-31,1900,5827.0,001
00236903,2020-12-31,2000,4329.0,002
00236903,2020-12-31,2050,3748.0,002
00236903,2020-12-31,2090,581.0,002
00236903,2020-12-31,2120,2904.0,002
00236903,2020-12-31,2130,1366.0,002
00236903,2020-12-31,2150,85.0,002
00236903,2020-12-31,2180,2016.0,002
00236903,2020-12-31,2190,18.0,002
00236903,2020-12-31,2290,18.0,002
00236903,2020-12-31,2300,-3.0,002
00236903,2020-12-31,2350,15.0,002
00236903,2020-12-31,2465,15.0,002
00236903,2020-12-31,2500,5143.0,002
00236903,2020-12-31,2505,856.0,002
00236903,2020-12-31,2510,183.0,002
00236903,2020-12-31,2515,19.0,002
00236903,2020-12-31,2520,1014.0,002
00236903,2020-12-31,2550,7215.0,002
00236903,2020-12-31,2600,373002.0,002
00236903,2020-12-31,2605,373002.0,002
00236903,2020-12-31,2610,0.04021,002
00236903,2020-12-31,2615,0.04021,002
00236903,2021-12-31,1011,523.0,001
00236903,2021-12-31,1012,523.0,001
00236903,2021-12-31,1030,948.0,001
00236903,2021-12-31,1095,948.0,001
00236903,2021-12-31,1125,1671.0,001
00236903,2021-12-31,1130,257.0,001
00236903,2021-12-31,1135,111.0,001
00236903,2021-12-31,1155,2041.0,001
00236903,2021-12-31,1165,1461.0,001
00236903,2021-12-31,1167,1461.0,001
00236903,2021-12-31,1190,284.0,001
00236903,2021-12-31,1195,5825.0,001
00236903,2021-12-31,1300,6773.0,001
00236903,2021-12-31,1400,19.0,001
00236903,2021-12-31,1410,2120.0,001
00236903,2021-12-31,1415,2.0,001
00236903,2021-12-31,1420,65.0,001
00236903,2021-12-31,1495,2206.0,001
00236903,2021-12-31,1615,789.0,001
00236903,2021-12-31,1620,5.0,001
